index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,7991700,6188075,3720747,11818525760,23.5922,18.4034,20.9313
BTree,1021381,1048006,996355,1956120768,1.34389,1.2543,1.37162,LinearSearch,8
BTree,138217,139658,170047,1881906544,0.971342,0.932859,0.919853,InterpolationSearch,10
BTree,115161,115518,117835,2263536584,0.987735,0.948125,0.956055,InterpolationSearch,12
DynamicPGM,2688557,2669493,2628298,1703429848,1.28191,1.34179,1.35635,LinearSearch,32
DynamicPGM,2128468,2155441,2140280,1700049908,1.0292,1.00287,1.00783,InterpolationSearch,128
DynamicPGM,2095233,2093807,2078910,1700010848,0.982678,1.01227,1.01105,InterpolationSearch,256
