index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,8201098,6036095,3677095,11785926480,2.76456,694.11,2.85304,697.626,2.74789,703.738
BTree,826722,806953,817066,2441636976,0.62403,0.996161,0.638173,1.08098,0.616938,1.03256,InterpolationSearch,10
BTree,1008192,328247,207863,2197517688,1.04239,1.45419,0.943533,1.44184,1.13375,1.45523,LinearSearch,8
BTree,486115,498870,498671,3079164936,0.697963,1.12579,0.655063,1.09276,0.661363,1.08833,InterpolationSearch,12
DynamicPGM,2114626,2105397,2086727,1700010928,8.11769,0.61969,8.53784,0.53286,8.7215,0.620594,InterpolationSearch,256
DynamicPGM,2132362,2136891,2142480,1700049488,8.54198,0.541017,8.47085,0.619378,8.48577,0.532934,InterpolationSearch,128
DynamicPGM,2062456,2074244,2060673,1700003108,8.6939,0.635482,8.58798,0.55195,8.65933,0.629358,InterpolationSearch,512
