index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,12517573,7968258,5741510,20628848672,700.937,697.884,704.599
BTree,1291336,1280877,1301687,2125000432,2.08724,2.02569,2.04448,LinearSearch,6
BTree,885810,887826,871377,1856251088,2.11437,2.13805,2.14253,LinearSearch,8
BTree,561552,553271,555968,1600535632,1.63828,1.58719,1.65501,BinarySearch,18
DynamicPGM,3670493,3729176,3665053,1716194548,2.51767,2.57524,2.46655,BinarySearch,16
DynamicPGM,3495069,3486579,3499687,1707696288,2.46073,2.37776,2.45482,BinarySearch,32
DynamicPGM,3658615,3656400,3660245,1716194548,2.53131,2.34085,2.50614,LinearSearch,16
