index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,3439913,3441183,3442205,1703241188,3.02906,3.08577,3.08022,LinearSearch,32
DynamicPGM,2695507,2692313,2693449,1700049408,3.03939,3.04418,3.04289,InterpolationSearch,128
DynamicPGM,2613610,2614001,2613689,1700011168,3.05533,3.05776,3.05835,InterpolationSearch,256
LIPP,9781192,7550960,5156206,11753613200,3.10398,2.7338,2.78917
HybridInsert,9820830,7645167,5214698,11686075312,3.92524,3.94326,4.04828,pgm_err=32
HybridInsert,5202038,5207362,5236121,11686069032,4.06462,4.07825,3.95737,pgm_err=64
HybridInsert,5219417,5179253,5249396,11686067432,4.07453,4.06064,4.06652,pgm_err=128
Hybrid,5213146,5852263,5885322,11750880948,1.94978,1.84545,1.82361,500000
Hybrid,5867263,5912290,5854822,11686069248,3.8539,3.86026,3.85936,10000000
