index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,4230388,4212838,4229326,1700923408,2.74594,2.79099,2.78266,BinarySearch,256
DynamicPGM,4457294,4456113,4455984,1703724028,2.84097,2.87033,2.86708,BinarySearch,64
DynamicPGM,4333825,4332018,4336985,1701839508,2.81982,2.81824,2.8184,BinarySearch,128
LIPP,14569960,9119018,6926472,20408967088,1.87833,1.69603,1.73897
HybridInsert,14514315,9200809,6856523,20286391360,3.72263,3.74383,3.75926,pgm_err=32
HybridInsert,6844557,6840912,6819540,20286329920,3.78752,3.79156,3.77488,pgm_err=64
HybridInsert,6824339,6811944,6828835,20286298240,3.81087,3.81064,3.79631,pgm_err=128
Hybrid,6807221,7774055,7764028,20396951096,1.3576,1.15295,1.24542,500000
Hybrid,7778752,7789938,7760352,20286330136,3.40529,3.38518,3.37213,10000000
