index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,13099968,7953315,5740391,20602887232,14.8343,14.8957,14.5301
BTree,1028454,1019125,980593,1956120768,1.70489,1.70181,1.74725,LinearSearch,8
BTree,515465,506172,506960,2197286800,1.60688,1.71285,1.70052,LinearSearch,6
BTree,139748,139991,141657,1881906544,1.62114,1.58662,1.57873,LinearAVX,10
DynamicPGM,3237001,3353462,3256459,1700920428,1.18963,1.24022,1.25607,BinarySearch,256
DynamicPGM,3376193,3387510,3482249,1703719788,1.39264,1.37729,1.40572,BinarySearch,64
DynamicPGM,3279253,3313079,3289765,1701834168,1.34168,1.33532,1.37163,BinarySearch,128
