index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,8337651,6325553,3885762,11825518832,691.119,666.357,678.404
BTree,1258916,1242073,1251814,2125000432,1.50897,1.50247,1.48827,LinearSearch,6
BTree,907084,893519,886904,1856251088,1.64862,1.59062,1.60931,LinearSearch,8
BTree,592440,590770,591049,1601106264,1.51856,1.51192,1.53248,InterpolationSearch,16
DynamicPGM,3478813,3431348,3454662,1719163668,2.36604,2.39816,2.35077,BinarySearch,16
DynamicPGM,3445338,3455992,3431069,1719163668,2.46198,2.60136,2.59971,LinearSearch,16
DynamicPGM,2667007,2656319,2644814,1703456888,2.43879,2.42391,2.36473,BinarySearch,32
