index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,12770044,7759273,5813699,20507817984,1.69498,706.368,1.65548,700.563,1.64101,707.137
BTree,1034862,740650,752882,2197517688,0.946913,1.86978,1.13832,1.95439,1.10791,1.84648,LinearSearch,8
BTree,285545,275167,278211,2379181072,0.874424,1.71516,0.869355,1.68719,0.880398,1.68847,LinearSearch,6
BTree,132052,130507,134148,2441636976,0.991053,1.65633,0.972083,1.71446,0.96135,1.6842,LinearAVX,10
DynamicPGM,3119552,3145697,3131624,1700238628,7.44934,0.173629,7.8231,0.173342,7.71854,0.17252,LinearSearch,1024
DynamicPGM,3169976,3155486,3133512,1700238628,7.6991,0.670354,7.72599,0.680978,7.73822,0.669737,BinarySearch,1024
DynamicPGM,3195809,3115785,3112344,1700238628,7.55833,0.373327,7.76028,0.350807,7.84386,0.373321,InterpolationSearch,1024
