index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,7988374,6421033,4284014,12705922272,701.387,654.212,693.906
BTree,1313485,1331096,1312854,2125000432,1.32789,1.48772,1.53385,LinearSearch,6
BTree,969071,895873,892662,1856251088,1.46136,1.66952,1.71315,LinearSearch,8
BTree,1144749,1125484,1128923,2125000432,1.13204,1.23373,1.25602,InterpolationSearch,6
DynamicPGM,3834534,3922883,3838711,1721297388,2.05485,2.10719,2.29452,LinearSearch,16
DynamicPGM,3485902,3479435,3371358,1702563708,1.66694,1.59217,1.66209,BinarySearch,128
DynamicPGM,3848330,3815377,3816873,1721297388,2.07713,1.98902,1.96154,BinarySearch,16
