index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,7991137,6222579,4204661,12679095104,2.16178,693.437,1.74285,702.947,1.98376,671.722
BTree,862119,844822,869903,2441636976,0.572828,0.957495,0.579783,0.875184,0.573997,0.934538,InterpolationSearch,10
BTree,797383,810995,795650,3079164936,0.60761,0.81221,0.599793,0.94661,0.601204,0.79612,InterpolationSearch,12
BTree,1094248,341964,220920,2197517688,1.05628,1.41953,0.89811,1.41507,0.964379,1.41897,LinearSearch,8
DynamicPGM,3040667,3058968,3025230,1700499248,8.23273,0.363115,8.41467,0.343975,8.74478,0.354248,LinearSearch,512
DynamicPGM,3022728,3060786,3085754,1700499248,8.75196,0.622375,8.7239,0.566918,8.71822,0.571025,BinarySearch,512
DynamicPGM,3193858,3201148,3194876,1701187028,8.73365,0.667239,8.8375,0.559285,8.84852,0.588846,ExponentialSearch,256
