index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,8290783,6449031,4492540,12700946864,17.7943,17.4002,15.8111
BTree,1073352,1069380,1026032,1956120768,1.32894,1.33923,1.39882,LinearSearch,8
BTree,140282,144874,139465,1881906544,0.950169,0.918768,0.784681,InterpolationSearch,10
BTree,525619,510432,519176,2197286800,1.11821,1.22933,1.2338,LinearSearch,6
DynamicPGM,3173525,3057314,3053380,1700504528,0.945868,0.971164,0.96696,BinarySearch,512
DynamicPGM,3482777,3465760,3516925,1705226028,1.20005,1.18662,1.15599,BinarySearch,64
DynamicPGM,3453960,3368435,3348076,1702558388,1.07105,1.05835,1.07392,BinarySearch,128
DynamicPGM,3299646,3281336,3286966,1700504528,0.757703,0.700169,0.696363,BinarySearch,512
DynamicPGM,3753869,3710276,3763069,1705226028,0.85784,1.00365,0.872272,BinarySearch,64
DynamicPGM,3632408,3618428,3623940,1702558388,0.779687,0.759672,0.769856,BinarySearch,128
LIPP,10100690,7257357,6166873,12700946864,14.5795,12.8191,11.7311
Hybrid,9991290,8644132,5734137,12687700704,1.09896,0.962905,1.02593
